Type,Bit Error Rate,CodeRate,SNR,factor
attenuated,0.265761316872428,0.75,1,0.9
attenuated,0.26026748971193414,0.75,1,0.3
attenuated,0.2605761316872428,0.75,1,0.4
attenuated,0.26275720164609057,0.75,1,0.6
attenuated,0.25983539094650204,0.75,1,0.2
attenuated,0.26304526748971196,0.75,1,0.7
attenuated,0.2601440329218107,0.75,1,0.1
attenuated,0.2616460905349794,0.75,1,0.5
attenuated,0.26512345679012345,0.75,1,0.8
attenuated,0.2676131687242798,0.75,1,1
attenuated,0.2437037037037037,0.75,2,0.9
attenuated,0.2363991769547325,0.75,2,0.3
attenuated,0.23781893004115226,0.75,2,0.5
attenuated,0.23746913580246912,0.75,2,0.4
attenuated,0.23545267489711935,0.75,2,0.1
attenuated,0.24115226337448561,0.75,2,0.7
attenuated,0.24539094650205762,0.75,2,1
attenuated,0.24152263374485597,0.75,2,0.8
attenuated,0.2398971193415638,0.75,2,0.6
attenuated,0.23574074074074072,0.75,2,0.2
attenuated,0.21656378600823045,0.75,3,0.6
attenuated,0.21510288065843622,0.75,3,0.5
attenuated,0.2240946502057613,0.75,3,1
attenuated,0.21314814814814814,0.75,3,0.3
attenuated,0.21279835390946503,0.75,3,0.2
attenuated,0.21253086419753087,0.75,3,0.1
attenuated,0.22090534979423868,0.75,3,0.9
attenuated,0.21409465020576132,0.75,3,0.4
attenuated,0.2198971193415638,0.75,3,0.8
attenuated,0.2175514403292181,0.75,3,0.7
attenuated,0.19113168724279836,0.75,4,0.5
attenuated,0.1869753086419753,0.75,4,0.1
attenuated,0.1952880658436214,0.75,4,0.8
attenuated,0.18870370370370368,0.75,4,0.3
attenuated,0.19240740740740742,0.75,4,0.6
attenuated,0.199320987654321,0.75,4,0.9
attenuated,0.18979423868312756,0.75,4,0.4
attenuated,0.20277777777777778,0.75,4,1
attenuated,0.18804526748971193,0.75,4,0.2
attenuated,0.1932716049382716,0.75,4,0.7
attenuated,0.1659465020576132,0.75,5,0.2
attenuated,0.17279835390946502,0.75,5,0.7
attenuated,0.18248971193415636,0.75,5,1
attenuated,0.1668312757201646,0.75,5,0.3
attenuated,0.16520576131687245,0.75,5,0.1
attenuated,0.16748971193415638,0.75,5,0.4
attenuated,0.1696707818930041,0.75,5,0.5
attenuated,0.17786008230452674,0.75,5,0.9
attenuated,0.1765432098765432,0.75,5,0.8
attenuated,0.17172839506172838,0.75,5,0.6
attenuated,0.14641975308641975,0.75,6,0.6
attenuated,0.14141975308641977,0.75,6,0.2
attenuated,0.15508230452674898,0.75,6,0.9
attenuated,0.1425514403292181,0.75,6,0.4
attenuated,0.1510082304526749,0.75,6,0.8
attenuated,0.14189300411522632,0.75,6,0.3
attenuated,0.14,0.75,6,0.1
attenuated,0.14837448559670782,0.75,6,0.7
attenuated,0.14450617283950618,0.75,6,0.5
attenuated,0.1373045267489712,0.75,7,0.9
attenuated,0.13078189300411522,0.75,7,0.7
attenuated,0.1267283950617284,0.75,7,0.6
attenuated,0.11958847736625514,0.75,7,0.2
attenuated,0.14137860082304526,0.75,7,1
attenuated,0.13434156378600826,0.75,7,0.8
attenuated,0.12238683127572016,0.75,7,0.4
attenuated,0.1255761316872428,0.75,7,0.5
attenuated,0.11845679012345679,0.75,7,0.1
attenuated,0.12117283950617284,0.75,7,0.3
attenuated,0.11148148148148149,0.75,8,0.6
attenuated,0.10890946502057613,0.75,8,0.5
attenuated,0.12226337448559671,0.75,8,0.9
attenuated,0.10176954732510288,0.75,8,0.2
attenuated,0.12619341563786007,0.75,8,1
attenuated,0.10092592592592592,0.75,8,0.1
attenuated,0.10320987654320987,0.75,8,0.3
attenuated,0.11730452674897118,0.75,8,0.8
attenuated,0.10580246913580248,0.75,8,0.4
attenuated,0.11467078189300411,0.75,8,0.7
